Category,Sub-Category,Percentage-Likely
Openness,Adventurousness,98.78139487885575
Openness,Artistic interests,92.4860972289913
Openness,Emotionality,59.20914934930139
Openness,Imagination,70.61827269374858
Openness,Intellect,94.39725397058534
Openness,Authority-challenging,89.98286808819127
Conscientiousness,Achievement striving,89.47748099112535
Conscientiousness,Cautiousness,81.3763203933135
Conscientiousness,Dutifulness,63.37096113863643
Conscientiousness,Orderliness,58.15287751375248
Conscientiousness,Self-discipline,69.23351566257804
Conscientiousness,Self-efficacy,64.91984904101776
Extraversion,Activity level,97.5052533987953
Extraversion,Assertiveness,82.84281713935772
Extraversion,Cheerfulness,19.144381386913057
Extraversion,Excitement-seeking,29.74940911959426
Extraversion,Outgoing,49.139069640009424
Extraversion,Gregariousness,26.425644542000658
Agreeableness,Altruism,91.6079754480913
Agreeableness,Cooperation,84.529803707691
Agreeableness,Modesty,55.749980857972226
Agreeableness,Uncompromising,79.32582427004382
Agreeableness,Sympathy,93.87834760599385
Agreeableness,Trust,88.95900532383266
Emotional range,Fiery,14.03688685418693
Emotional range,Prone to worry,17.79140484431872
Emotional range,Melancholy,34.344340651791526
Emotional range,Immoderation,9.041749745577793
Emotional range,Self-consciousness,31.21752217440746
Emotional range,Susceptible to stress,25.853849357238307
